customer_id,signup_date,device_type,traffic_source
1,2/7/2024,mobile,unknown
2,5/20/2024,mobile,"organic"
3,3/13/2024,mobile,"organic"
4,5/17/2024,mobile,"organic"
5,5/13/2024,mobile,"organic"
6,3/20/2024,mobile,"organic"
7,5/24/2024,mobile,"organic"
8,5/9/2024,mobile,"ads"
9,3/12/2024,mobile,"ads"
10,5/14/2024,mobile,"ads"
11,1/26/2024,mobile,"ads"
12,6/27/2024,mobile,"organic"
13,1/21/2024,desktop,"referral"
14,4/11/2024,mobile,"ads"
15,5/26/2024,desktop,"organic"
16,5/19/2024,mobile,"organic"
17,6/5/2024,desktop,"referral"
18,6/6/2024,mobile,"organic"
19,5/22/2024,mobile,"organic"
20,2/20/2024,mobile,"ads"
21,3/9/2024,desktop,"ads"
22,4/6/2024,mobile,"organic"
23,3/27/2024,mobile,"ads"
24,5/21/2024,mobile,"ads"
25,5/17/2024,mobile,"organic"
26,1/8/2024,mobile,"ads"
27,3/4/2024,mobile,"referral"
28,3/2/2024,mobile,"referral"
29,1/23/2024,desktop,"ads"
30,2/27/2024,desktop,"ads"
31,1/2/2024,mobile,"referral"
32,5/8/2024,mobile,"referral"
33,3/1/2024,desktop,"organic"
34,1/9/2024,mobile,"organic"
35,5/21/2024,mobile,"ads"
36,4/25/2024,mobile,"organic"
37,6/24/2024,mobile,"ads"
38,5/1/2024,desktop,"ads"
39,1/31/2024,mobile,"organic"
40,3/12/2024,mobile,"organic"
41,5/11/2024,desktop,"organic"
42,5/29/2024,desktop,"organic"
43,2/19/2024,mobile,"organic"
44,2/27/2024,mobile,unknown
45,1/4/2024,mobile,"ads"
46,1/25/2024,mobile,"organic"
47,2/13/2024,mobile,"ads"
48,3/17/2024,desktop,"ads"
49,1/27/2024,mobile,"organic"
50,2/22/2024,desktop,"organic"
51,3/21/2024,mobile,"ads"
52,4/19/2024,mobile,"organic"
53,4/25/2024,mobile,"organic"
54,2/11/2024,desktop,unknown
55,1/16/2024,mobile,"referral"
56,3/5/2024,desktop,"organic"
57,1/26/2024,mobile,"referral"
58,4/21/2024,mobile,"referral"
59,5/15/2024,desktop,"referral"
60,1/27/2024,mobile,"ads"
61,6/2/2024,desktop,"organic"
62,4/14/2024,mobile,"organic"
63,1/23/2024,mobile,"organic"
64,1/10/2024,mobile,"organic"
65,5/6/2024,mobile,"organic"
66,1/24/2024,desktop,"organic"
67,5/5/2024,mobile,"ads"
68,4/10/2024,mobile,"organic"
69,6/4/2024,mobile,"referral"
70,6/14/2024,desktop,"organic"
71,2/27/2024,desktop,"organic"
72,3/24/2024,desktop,"ads"
73,6/15/2024,mobile,"organic"
74,5/16/2024,mobile,"organic"
75,2/2/2024,mobile,"referral"
76,6/11/2024,mobile,"organic"
77,1/11/2024,mobile,"organic"
78,1/24/2024,mobile,"ads"
79,5/23/2024,mobile,"organic"
80,3/28/2024,mobile,"referral"
81,1/26/2024,mobile,"organic"
82,4/2/2024,mobile,"ads"
83,3/15/2024,mobile,"ads"
84,2/16/2024,mobile,"organic"
85,6/9/2024,desktop,"organic"
86,5/31/2024,desktop,"organic"
87,3/6/2024,mobile,"organic"
88,4/23/2024,mobile,"referral"
89,3/18/2024,mobile,"ads"
90,1/4/2024,mobile,"ads"
91,5/8/2024,mobile,"organic"
92,1/7/2024,mobile,"ads"
93,2/22/2024,desktop,"ads"
94,1/3/2024,mobile,"ads"
95,3/17/2024,desktop,"organic"
96,5/29/2024,desktop,"ads"
97,1/8/2024,mobile,"referral"
98,3/18/2024,mobile,"organic"
99,3/16/2024,mobile,"referral"
