customer_id,viewed,carted,checkout,purchased
1,1,1,1,1
2,1,1,1,0
5,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,0
12,1,0,0,0
15,1,1,0,0
16,1,1,0,0
19,1,0,0,0
20,1,0,0,0
21,1,0,0,0
22,1,0,0,0
26,1,0,0,0
28,1,0,0,0
31,1,0,0,0
32,1,0,0,0
33,1,1,1,1
34,1,1,0,0
35,1,0,0,0
42,1,0,0,0
43,1,0,0,0
45,1,0,0,0
48,1,0,0,0
50,1,0,0,0
52,1,1,0,0
53,1,0,0,0
58,1,0,0,0
59,1,0,0,0
65,1,1,1,1
69,1,0,0,0
73,1,1,1,0
76,1,0,0,0
77,1,1,1,1
78,1,1,0,0
80,1,0,0,0
83,1,1,1,1
84,1,0,0,0
85,1,0,0,0
93,1,0,0,0
98,1,0,0,0
99,1,0,0,0
100,1,0,0,0
105,1,0,0,0
106,1,0,0,0
107,1,1,0,0
110,1,1,1,0
111,1,0,0,0
112,1,1,1,0
114,1,0,0,0
118,1,1,0,0
120,1,0,0,0
123,1,0,0,0
129,1,1,1,1
133,1,0,0,0
134,1,1,1,0
135,1,0,0,0
137,1,0,0,0
138,1,0,0,0
145,1,0,0,0
151,1,0,0,0
153,1,0,0,0
157,0,\N,0,0
159,1,1,1,1
161,1,0,0,0
164,1,0,0,0
165,1,0,0,0
168,1,0,0,0
169,1,0,0,0
171,1,0,0,0
173,1,0,0,0
175,1,1,0,0
179,1,0,0,0
181,1,0,0,0
187,1,1,0,0
189,1,0,0,0
191,1,0,0,0
192,1,0,0,0
197,1,0,0,0
198,0,\N,1,0
200,1,1,1,0
201,1,0,0,0
203,1,0,0,0
206,1,0,0,0
207,1,0,0,0
209,1,0,0,0
210,1,1,0,0
211,1,0,0,0
212,1,1,1,0
221,1,0,0,0
222,1,0,0,0
224,1,1,0,0
227,1,1,0,0
230,1,0,0,0
231,1,1,1,1
233,1,1,0,0
234,1,0,0,0
235,1,1,1,0
239,1,1,0,0
241,1,1,0,0
242,1,0,0,0
243,1,0,0,0
251,1,0,0,0
253,1,0,0,0
254,1,0,0,0
255,1,1,1,0
256,1,1,1,0
257,1,0,0,0
260,1,0,\N,1
267,1,1,1,0
270,1,0,0,0
271,1,0,0,0
272,1,1,1,1
275,1,1,1,0
279,1,0,0,0
280,1,1,1,1
284,1,0,0,0
286,1,0,0,0
288,1,0,0,0
290,1,1,1,0
292,1,0,0,0
298,1,0,0,0
303,1,0,0,0
304,1,0,0,0
306,1,0,0,0
308,1,0,0,0
310,1,1,0,0
314,1,0,0,0
316,1,1,1,1
320,1,1,1,0
324,1,0,0,0
325,1,0,0,0
331,1,0,0,0
336,1,0,0,0
343,0,\N,0,0
344,1,1,1,1
345,1,1,1,0
348,1,1,1,1
350,1,0,0,0
354,1,0,0,0
356,1,1,1,0
363,1,0,\N,0
364,1,1,1,0
365,1,0,0,0
367,1,0,0,0
368,1,0,0,0
371,1,0,0,0
377,1,1,1,0
380,1,0,0,0
383,1,1,1,0
384,1,0,0,0
