order_id,customer_id,product_id,order_value,purchase_time,rn
1,31867,244,2055.15,2/28/2024 0:06,1
2,22913,171,3176.38,4/6/2024 0:06,1
3,42501,174,1715.73,3/20/2024 0:06,1
4,5950,29,3651.45,6/25/2024 0:06,1
5,10534,189,1942.93,1/7/2024 0:06,1
6,48402,156,4117.54,4/12/2024 0:06,1
7,7850,34,3524.31,4/21/2024 0:06,1
8,42462,94,3009.13,1/21/2024 0:06,1
9,24600,7,793.97,4/8/2024 0:06,1
10,16363,179,545.24,4/21/2024 0:06,1
11,20607,19,4158.87,2/18/2024 0:06,1
12,17627,24,3843.64,5/23/2024 0:06,1
13,19603,180,516.48,6/24/2024 0:06,1
14,21921,11,3992.52,4/18/2024 0:06,1
15,7523,155,1296.14,3/12/2024 0:06,1
17,36903,267,3697.05,5/8/2024 0:06,1
18,15491,24,3639.94,2/23/2024 0:06,1
19,9072,274,3732.75,4/12/2024 0:06,1
20,19570,74,3418.15,1/22/2024 0:06,1
21,27264,33,3327.82,1/9/2024 0:06,1
22,29209,248,4193.38,5/9/2024 0:06,1
23,48589,188,2769.13,5/27/2024 0:06,1
24,2276,269,1691.53,3/12/2024 0:06,1
25,11276,139,3457.6,6/18/2024 0:06,1
26,33465,209,2224.27,2/27/2024 0:06,1
27,39605,6,2312.81,4/11/2024 0:06,1
28,45018,92,1415.4,4/20/2024 0:06,1
29,36285,66,477.48,4/16/2024 0:06,1
30,46469,33,3680.85,2/21/2024 0:06,1
31,48213,213,645.65,1/31/2024 0:06,1
32,40888,240,3920.86,3/18/2024 0:06,1
33,38920,111,4892.96,1/27/2024 0:06,1
34,39880,136,426.52,4/9/2024 0:06,1
36,15782,95,3594.38,2/2/2024 0:06,1
37,6499,62,1090.92,1/28/2024 0:06,1
38,38897,133,1703.31,4/7/2024 0:06,1
39,22548,29,3410.33,4/22/2024 0:06,1
40,10930,72,2537.06,5/29/2024 0:06,1
41,24932,240,3751.12,4/1/2024 0:06,1
42,22612,46,3898.31,4/6/2024 0:06,1
43,36379,133,1463.65,1/12/2024 0:06,1
44,30998,84,1684.42,6/16/2024 0:06,1
45,25643,295,2267.71,2/12/2024 0:06,1
46,47466,263,3428.63,5/22/2024 0:06,1
47,40574,50,2276.28,4/24/2024 0:06,1
48,45202,22,659.87,2/25/2024 0:06,1
49,21666,68,1166.42,3/6/2024 0:06,1
50,8416,114,1489.63,6/27/2024 0:06,1
51,24014,65,1504.06,5/24/2024 0:06,1
52,6620,263,3578.69,6/22/2024 0:06,1
53,44812,192,4704.96,6/21/2024 0:06,1
54,45617,140,3684.84,4/2/2024 0:06,1
55,14433,248,4569.13,5/15/2024 0:06,1
56,386,95,3517.23,4/7/2024 0:06,1
57,5635,291,5024.59,3/17/2024 0:06,1
58,38951,14,4163.49,5/12/2024 0:06,1
59,45089,229,3804.68,4/22/2024 0:06,1
60,17861,117,690.76,4/14/2024 0:06,1
61,11310,82,2122.74,3/10/2024 0:06,1
62,7349,113,4912.68,3/30/2024 0:06,1
63,26855,75,856.13,3/19/2024 0:06,1
64,34801,15,1537.49,6/14/2024 0:06,1
65,30972,19,3889.86,3/22/2024 0:06,1
66,12914,172,4309.18,5/31/2024 0:06,1
67,36640,284,2274,4/12/2024 0:06,1
68,5536,40,4347.05,5/8/2024 0:06,1
69,7732,201,1887.47,5/9/2024 0:06,1
70,11771,274,3735.62,4/4/2024 0:06,1
71,18808,188,3108.12,4/5/2024 0:06,1
72,49620,218,2157.69,1/18/2024 0:06,1
73,46561,237,3841.74,3/8/2024 0:06,1
74,45786,78,3220.75,6/10/2024 0:06,1
75,28588,110,3886.58,2/16/2024 0:06,1
76,33,214,4030.05,5/31/2024 0:06,1
77,48724,12,1279.86,6/4/2024 0:06,1
78,6169,75,762.42,6/20/2024 0:06,1
79,38839,191,2452.89,3/24/2024 0:06,1
80,21570,80,2778,2/9/2024 0:06,1
81,7354,61,1777.84,5/4/2024 0:06,1
83,19258,168,1621.35,6/1/2024 0:06,1
84,30433,296,3471.58,1/17/2024 0:06,1
85,44960,74,3458.86,5/25/2024 0:06,1
86,49975,288,4166.01,1/5/2024 0:06,1
