event_id,customer_id,product_id,event_type,event_time,rn
1,30661,208,view_product,6/1/2024 0:00,1
2,25706,8,view_product,1/25/2024 0:00,1
3,45577,299,view_product,1/13/2024 0:00,1
4,45577,299,add_to_cart,1/13/2024 0:02,1
5,45577,299,begin_checkout,1/13/2024 0:04,1
6,13413,200,view_product,3/10/2024 0:00,1
7,41949,121,view_product,3/12/2024 0:00,1
8,41949,121,add_to_cart,3/12/2024 0:02,1
10,29378,185,view_product,5/30/2024 0:00,1
11,11127,42,view_product,5/18/2024 0:00,1
12,4613,78,view_product,2/4/2024 0:00,1
13,13968,239,view_product,1/21/2024 0:00,1
14,13968,239,add_to_cart,1/21/2024 0:02,1
15,13968,239,begin_checkout,1/21/2024 0:04,1
16,31867,244,view_product,2/28/2024 0:00,1
17,31867,244,add_to_cart,2/28/2024 0:02,1
18,31867,244,begin_checkout,2/28/2024 0:04,1
19,31867,244,purchase,2/28/2024 0:06,1
20,48526,115,view_product,6/14/2024 0:00,1
21,22913,171,view_product,4/6/2024 0:00,1
22,22913,171,add_to_cart,4/6/2024 0:02,1
23,22913,171,begin_checkout,4/6/2024 0:04,1
24,22913,171,purchase,4/6/2024 0:06,1
25,8581,184,view_product,6/10/2024 0:00,1
26,20909,167,view_product,1/20/2024 0:00,1
27,38236,232,view_product,6/22/2024 0:00,1
28,36416,78,view_product,2/28/2024 0:00,1
29,36416,78,add_to_cart,2/28/2024 0:02,1
30,429,132,view_product,5/24/2024 0:00,1
31,48744,236,view_product,5/17/2024 0:00,1
32,2387,60,view_product,1/20/2024 0:00,1
33,40718,52,view_product,4/25/2024 0:00,1
34,41668,235,view_product,4/17/2024 0:00,1
35,41668,235,add_to_cart,4/17/2024 0:02,1
37,40466,151,view_product,3/19/2024 0:00,1
38,40466,151,add_to_cart,3/19/2024 0:02,1
39,450,47,view_product,6/2/2024 0:00,1
40,450,47,add_to_cart,6/2/2024 0:02,1
41,20997,42,view_product,3/30/2024 0:00,1
42,45457,93,view_product,5/12/2024 0:00,1
43,45457,93,add_to_cart,5/12/2024 0:02,1
44,45457,93,begin_checkout,5/12/2024 0:04,1
45,8301,65,view_product,6/3/2024 0:00,1
46,9461,82,view_product,3/28/2024 0:00,1
47,42182,140,view_product,2/28/2024 0:00,1
48,42182,140,add_to_cart,2/28/2024 0:02,1
49,47735,215,view_product,4/22/2024 0:00,1
51,49077,231,view_product,5/21/2024 0:00,1
52,8893,138,view_product,2/27/2024 0:00,1
53,43959,190,view_product,4/18/2024 0:00,1
54,12286,84,view_product,2/8/2024 0:00,1
55,42582,261,view_product,3/19/2024 0:00,1
57,44315,15,view_product,5/24/2024 0:00,1
58,18217,32,view_product,5/23/2024 0:00,1
59,24972,193,view_product,3/16/2024 0:00,1
60,19619,119,view_product,2/13/2024 0:00,1
61,19619,119,add_to_cart,2/13/2024 0:02,1
62,18979,191,view_product,4/10/2024 0:00,1
